Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.61,0.4650741891010787
100% Corpus,9,0.31,0.9099999999999999,0.4749879567541804
100% Corpus,9,0.31,symmetric,0.45802671145840596
100% Corpus,9,0.61,0.01,0.48001641060110756
100% Corpus,9,0.61,0.31,0.4717415562296914
100% Corpus,9,0.61,0.61,0.4818341304285236
100% Corpus,9,0.61,0.9099999999999999,0.4571362466382334
100% Corpus,9,0.61,symmetric,0.47370186057336816
100% Corpus,9,0.9099999999999999,0.01,0.47657702069748736
100% Corpus,9,0.9099999999999999,0.31,0.46310289969523716
100% Corpus,9,0.9099999999999999,0.61,0.48624272680929387
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4561213103417568
100% Corpus,9,0.9099999999999999,symmetric,0.47506765336050605
100% Corpus,9,symmetric,0.01,0.44448787465239625
100% Corpus,9,symmetric,0.31,0.45481388569232784
100% Corpus,9,symmetric,0.61,0.4600900242922123
100% Corpus,9,symmetric,0.9099999999999999,0.4533293966529338
100% Corpus,9,symmetric,symmetric,0.4575150925221355
100% Corpus,9,asymmetric,0.01,0.4487691802946487
100% Corpus,9,asymmetric,0.31,0.48041537602090745
100% Corpus,9,asymmetric,0.61,0.4817951133700047
100% Corpus,9,asymmetric,0.9099999999999999,0.4196798735727561
100% Corpus,9,asymmetric,symmetric,0.4567563041879882
100% Corpus,10,0.01,0.01,0.45703038812415436
100% Corpus,10,0.01,0.31,0.486310048220788
100% Corpus,10,0.01,0.61,0.4453533955972745
100% Corpus,10,0.01,0.9099999999999999,0.47605578429726
100% Corpus,10,0.01,symmetric,0.4583066857891992
100% Corpus,10,0.31,0.01,0.4754261436487851
100% Corpus,10,0.31,0.31,0.4710063850454295
100% Corpus,10,0.31,0.61,0.46998845449704085
100% Corpus,10,0.31,0.9099999999999999,0.4622035028903958
100% Corpus,10,0.31,symmetric,0.47272232682553267
100% Corpus,10,0.61,0.01,0.4793239090076966
100% Corpus,10,0.61,0.31,0.47424642024952457
100% Corpus,10,0.61,0.61,0.4697087032694336
100% Corpus,10,0.61,0.9099999999999999,0.4664926644358089
100% Corpus,10,0.61,symmetric,0.464243701476326
100% Corpus,10,0.9099999999999999,0.01,0.4700361311906073
100% Corpus,10,0.9099999999999999,0.31,0.4680180829910732
100% Corpus,10,0.9099999999999999,0.61,0.4527548055928155
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.48118396225738813
100% Corpus,10,0.9099999999999999,symmetric,0.4680151916926142
100% Corpus,10,symmetric,0.01,0.46958719424907763
100% Corpus,10,symmetric,0.31,0.48494894697078117
100% Corpus,10,symmetric,0.61,0.4507859418943532
100% Corpus,10,symmetric,0.9099999999999999,0.4663719366285738
100% Corpus,10,symmetric,symmetric,0.47050451799554605
100% Corpus,10,asymmetric,0.01,0.45305819262983665
100% Corpus,10,asymmetric,0.31,0.4859453397727654
100% Corpus,10,asymmetric,0.61,0.4811523713469108
100% Corpus,10,asymmetric,0.9099999999999999,0.45729836107145383
100% Corpus,10,asymmetric,symmetric,0.4507099480334225
