Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.01,0.31,0.4288892043663335
75% Corpus,7,0.01,0.61,0.4192116490438658
75% Corpus,7,0.01,0.9099999999999999,0.40657442429478136
75% Corpus,7,0.01,symmetric,0.38748023912869084
75% Corpus,7,0.31,0.01,0.43082237464179046
75% Corpus,7,0.31,0.31,0.42742851143010574
75% Corpus,7,0.31,0.61,0.41624455223216555
75% Corpus,7,0.31,0.9099999999999999,0.4323896344300739
75% Corpus,7,0.31,symmetric,0.3975941789331038
75% Corpus,7,0.61,0.01,0.4315292740670795
75% Corpus,7,0.61,0.31,0.3942821266987642
75% Corpus,7,0.61,0.61,0.42148579855011564
75% Corpus,7,0.61,0.9099999999999999,0.4665356896189552
75% Corpus,7,0.61,symmetric,0.4163956826352738
75% Corpus,7,0.9099999999999999,0.01,0.44214048128729916
75% Corpus,7,0.9099999999999999,0.31,0.4173448168192508
75% Corpus,7,0.9099999999999999,0.61,0.4340160694658201
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.47941754711642975
75% Corpus,7,0.9099999999999999,symmetric,0.43109881339211686
75% Corpus,7,symmetric,0.01,0.421864680995804
75% Corpus,7,symmetric,0.31,0.4404129380671871
75% Corpus,7,symmetric,0.61,0.46072685379502715
75% Corpus,7,symmetric,0.9099999999999999,0.42890703064399954
75% Corpus,7,symmetric,symmetric,0.41291663402996
75% Corpus,7,asymmetric,0.01,0.41547202947219514
75% Corpus,7,asymmetric,0.31,0.40850292080301553
75% Corpus,7,asymmetric,0.61,0.40167188483907973
75% Corpus,7,asymmetric,0.9099999999999999,0.46992848291501427
75% Corpus,7,asymmetric,symmetric,0.39007876592311425
75% Corpus,8,0.01,0.01,0.42331724851174185
75% Corpus,8,0.01,0.31,0.4315927482964157
75% Corpus,8,0.01,0.61,0.46476092399353075
75% Corpus,8,0.01,0.9099999999999999,0.43647192542770497
75% Corpus,8,0.01,symmetric,0.43462153444438495
75% Corpus,8,0.31,0.01,0.442492131288215
75% Corpus,8,0.31,0.31,0.4083192583945646
75% Corpus,8,0.31,0.61,0.4331077636147024
75% Corpus,8,0.31,0.9099999999999999,0.3888236587448056
75% Corpus,8,0.31,symmetric,0.40839856555454696
75% Corpus,8,0.61,0.01,0.45138023313432823
75% Corpus,8,0.61,0.31,0.39019560570811107
75% Corpus,8,0.61,0.61,0.46998000619909386
75% Corpus,8,0.61,0.9099999999999999,0.4316379203280248
75% Corpus,8,0.61,symmetric,0.4415695063615027
75% Corpus,8,0.9099999999999999,0.01,0.45779877343560726
75% Corpus,8,0.9099999999999999,0.31,0.419598712382218
75% Corpus,8,0.9099999999999999,0.61,0.45472585540368016
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4758219861012173
75% Corpus,8,0.9099999999999999,symmetric,0.44149760713859937
75% Corpus,8,symmetric,0.01,0.4314179153105947
75% Corpus,8,symmetric,0.31,0.44125958276591815
75% Corpus,8,symmetric,0.61,0.4795149987105334
75% Corpus,8,symmetric,0.9099999999999999,0.42809142246720544
75% Corpus,8,symmetric,symmetric,0.41825579107131183
75% Corpus,8,asymmetric,0.01,0.438346591158275
75% Corpus,8,asymmetric,0.31,0.4417252104735042
75% Corpus,8,asymmetric,0.61,0.43002323494756256
75% Corpus,8,asymmetric,0.9099999999999999,0.4236878411326067
75% Corpus,8,asymmetric,symmetric,0.4392798941137201
75% Corpus,9,0.01,0.01,0.4292514392551967
75% Corpus,9,0.01,0.31,0.45796424761055643
75% Corpus,9,0.01,0.61,0.4411871990862742
75% Corpus,9,0.01,0.9099999999999999,0.4696556885290248
75% Corpus,9,0.01,symmetric,0.4751118551989058
75% Corpus,9,0.31,0.01,0.45411584265553095
75% Corpus,9,0.31,0.31,0.4587814584217517
75% Corpus,9,0.31,0.61,0.4780571435575091
75% Corpus,9,0.31,0.9099999999999999,0.4254728714128674
75% Corpus,9,0.31,symmetric,0.4375292118064689
75% Corpus,9,0.61,0.01,0.47205573980310767
75% Corpus,9,0.61,0.31,0.4890869280693372
75% Corpus,9,0.61,0.61,0.5023657677932688
75% Corpus,9,0.61,0.9099999999999999,0.41851202356550743
75% Corpus,9,0.61,symmetric,0.45739637669566424
75% Corpus,9,0.9099999999999999,0.01,0.45979755054799576
75% Corpus,9,0.9099999999999999,0.31,0.4418487092550073
75% Corpus,9,0.9099999999999999,0.61,0.48475757915897955
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.45206749070871716
75% Corpus,9,0.9099999999999999,symmetric,0.4624415890434865
75% Corpus,9,symmetric,0.01,0.4401739535572128
75% Corpus,9,symmetric,0.31,0.4570348920994548
75% Corpus,9,symmetric,0.61,0.4506214794395869
75% Corpus,9,symmetric,0.9099999999999999,0.43877561368925666
75% Corpus,9,symmetric,symmetric,0.46147220592595745
75% Corpus,9,asymmetric,0.01,0.4287311277723155
75% Corpus,9,asymmetric,0.31,0.4601710101146746
75% Corpus,9,asymmetric,0.61,0.47835174889454696
75% Corpus,9,asymmetric,0.9099999999999999,0.42693042450849933
75% Corpus,9,asymmetric,symmetric,0.4511964267807649
75% Corpus,10,0.01,0.01,0.4599135697331727
75% Corpus,10,0.01,0.31,0.4341134810764844
75% Corpus,10,0.01,0.61,0.4172449816235943
75% Corpus,10,0.01,0.9099999999999999,0.41810674940018827
75% Corpus,10,0.01,symmetric,0.4517150885718963
75% Corpus,10,0.31,0.01,0.4644044508620978
75% Corpus,10,0.31,0.31,0.45081671870715734
75% Corpus,10,0.31,0.61,0.43363238713416974
75% Corpus,10,0.31,0.9099999999999999,0.41188687470956664
75% Corpus,10,0.31,symmetric,0.4483849456963642
75% Corpus,10,0.61,0.01,0.4700353525067943
75% Corpus,10,0.61,0.31,0.48581371853455213
75% Corpus,10,0.61,0.61,0.4569031753162939
75% Corpus,10,0.61,0.9099999999999999,0.4608710203195595
75% Corpus,10,0.61,symmetric,0.4601303855814347
75% Corpus,10,0.9099999999999999,0.01,0.4694592271983016
75% Corpus,10,0.9099999999999999,0.31,0.4810015075199816
75% Corpus,10,0.9099999999999999,0.61,0.4570682407623126
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4631503903034793
75% Corpus,10,0.9099999999999999,symmetric,0.4499783028646194
75% Corpus,10,symmetric,0.01,0.45960999327037977
75% Corpus,10,symmetric,0.31,0.4425520339244905
75% Corpus,10,symmetric,0.61,0.41159965691169775
75% Corpus,10,symmetric,0.9099999999999999,0.4183784667874918
75% Corpus,10,symmetric,symmetric,0.4594714460099613
